brand,year,pass,total
OTHER,1996,0.30890369473046636,1651
OTHER,1997,0.32087015635622024,2942
OTHER,1998,0.3186856690419636,5052
OTHER,1999,0.3072612921669525,8745
OTHER,2000,0.3081422831481919,16924
OTHER,1995,0.30465587044534415,988
OTHER,2001,0.33210293187091333,18964
OTHER,2002,0.339253529588465,26632
OTHER,2003,0.3613883468079175,35870
OTHER,2004,0.3956936565239814,46536
OTHER,2005,0.4260485252999008,55435
OTHER,2006,0.4387179294259273,39873
OTHER,2007,0.5122820112641651,29474
OTHER,2008,0.554379729648783,50083
OTHER,2009,0.5783975765172882,9573
OTHER,2010,0.6976145009244945,32991
OTHER,1993,0.35751295336787564,579
OTHER,1994,0.3276595744680851,705
OTHER,2011,0.7443432265647958,10209
OTHER,2012,0.7921706989247311,29760
OTHER,1981,0.3698630136986301,73
OTHER,1982,0.42391304347826086,92
OTHER,1984,0.4166666666666667,132
OTHER,1987,0.45054945054945056,91
OTHER,1990,0.3869346733668342,398
OTHER,1991,0.37782340862423,487
OTHER,1992,0.34368530020703936,483
OTHER,2013,0.8397959183673469,5880
OTHER,1985,0.3469387755102041,147
OTHER,1986,0.37341772151898733,158
OTHER,1988,0.27941176470588236,136
OTHER,1989,0.37894736842105264,190
OTHER,1983,0.3925925925925926,135
OTHER,1938,0.0,1
OTHER,1954,0.0,4
OTHER,1980,0.35714285714285715,56
OTHER,1965,0.0,2
OTHER,1979,0.5,4
OTHER,1952,0.5,2
OTHER,1957,0.5,4
OTHER,1960,1.0,2
OTHER,1961,0.5,4
OTHER,1962,0.0,3
OTHER,1964,0.3333333333333333,3
OTHER,1963,1.0,1
OTHER,2014,0.8783783783783784,444
OTHER,2015,0.8554913294797688,346
OTHER,2016,0.9195402298850575,87
OTHER,1968,0.5,2
OTHER,1975,0.0,1
OTHER,1976,0.6666666666666666,3
OTHER,1978,0.6,5
OTHER,1934,0.0,1
OTHER,1977,0.0,1
OTHER,1955,1.0,2
OTHER,1932,0.0,1
OTHER,1939,0.5,2
OTHER,1948,1.0,1
OTHER,1950,1.0,1
OTHER,1958,0.0,1
OTHER,1966,1.0,1
OTHER,1973,1.0,1
AUDI,1983,0.3333333333333333,3
AUDI,1984,0.6,5
AUDI,1986,0.5,8
AUDI,1988,0.5,4
AUDI,1989,0.25,8
AUDI,1990,0.4375,16
AUDI,1992,0.5454545454545454,22
AUDI,1993,0.22916666666666666,48
AUDI,1994,0.3194444444444444,72
AUDI,1982,0.5,4
AUDI,1985,0.2,5
AUDI,1987,0.6666666666666666,9
AUDI,1991,0.5555555555555556,9
AUDI,1995,0.20588235294117646,68
AUDI,1996,0.22321428571428573,112
AUDI,2003,0.3417094017094017,5850
AUDI,2010,0.6889820938861106,6199
AUDI,2011,0.7246537396121884,1805
AUDI,2012,0.752502872148367,6093
AUDI,2013,0.7944890929965557,871
AUDI,2000,0.27586206896551724,1421
AUDI,2001,0.26764365599691475,2593
AUDI,2002,0.2762813318368874,5346
AUDI,2004,0.4022573363431151,6645
AUDI,2005,0.41947261663286006,7395
AUDI,1997,0.27522935779816515,218
AUDI,1998,0.25661914460285135,491
AUDI,1999,0.27860026917900405,743
AUDI,2006,0.4552863934797374,4417
AUDI,2007,0.5391003460207613,2890
AUDI,2008,0.5631860776439089,7470
AUDI,2009,0.625,1696
AUDI,2016,0.5,2
AUDI,2014,0.7857142857142857,14
AUDI,2015,0.6,5
BMW,2012,0.8133361204013378,4784
BMW,2013,0.8495821727019499,718
BMW,2004,0.349227446419671,6019
BMW,2005,0.41252072968490877,7236
BMW,2006,0.47210226291242013,5789
BMW,2007,0.5708890180127832,3442
BMW,2008,0.6008046976946498,9196
BMW,2009,0.6247689463955638,1082
BMW,2010,0.6978627671541058,4445
BMW,2011,0.7368143459915611,1896
BMW,1981,0.375,8
BMW,1998,0.30386740331491713,543
BMW,1999,0.2950391644908616,766
BMW,2000,0.29408138101109743,1622
BMW,1982,0.2727272727272727,11
BMW,1983,0.23529411764705882,17
BMW,1984,0.5,14
BMW,1986,0.36,25
BMW,1987,0.3103448275862069,29
BMW,1988,0.5,40
BMW,1989,0.27906976744186046,86
BMW,1990,0.3333333333333333,180
BMW,1991,0.28225806451612906,124
BMW,1993,0.4461538461538462,65
BMW,1994,0.25,96
BMW,1995,0.2517482517482518,143
BMW,1996,0.2548076923076923,208
BMW,1997,0.2853107344632768,354
BMW,2001,0.3016646366220057,2463
BMW,2002,0.30642201834862387,3270
BMW,2003,0.3330928330928331,4158
BMW,1992,0.3488372093023256,43
BMW,1980,0.8333333333333334,6
BMW,1985,0.13333333333333333,15
BMW,2014,1.0,10
BMW,2015,0.875,8
BMW,2016,0.0,1
FORD,2012,0.8004748424801388,10951
FORD,2013,0.8585798816568048,1690
FORD,2003,0.36702416508281294,14732
FORD,2004,0.4076583576801144,16087
FORD,2005,0.4454839176351449,20737
FORD,2006,0.4247465921006641,14305
FORD,2007,0.5005688282138794,10548
FORD,2008,0.5027653643644087,22601
FORD,2009,0.556951596292482,4855
FORD,2010,0.615194484194094,15374
FORD,2011,0.7263000746454342,4019
FORD,2014,0.6509433962264151,106
FORD,2015,0.7211538461538461,104
